6.6002 	INFO 	Loaded monitor calibration from ['2025_11_04 16:23']
6.8373 	INFO 	Using renderer 'Intel(R) UHD Graphics' for graphics
6.8373 	INFO 	OpenGL version supported by driver is 4..
6.9696 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023813BB4BB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023813BB4C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023813C75450>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(560.0), np.float64(240.0)], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9697 	EXP 	window1: backgroundImage = ''
6.9697 	EXP 	window1: backgroundFit = 'none'
7.0052 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0219 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0385 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0544 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0702 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0861 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1019 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1205 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1357 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1514 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1673 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1830 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1988 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2151 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2311 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2467 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2627 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2786 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.2941 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3101 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3257 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3262 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3283 	DEBUG 	Upload of Texture Font fontname complete
7.3583 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3745 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3909 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3914 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3927 	DEBUG 	Upload of Texture Font fontname complete
7.3948 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.3948 	EXP 	window1: recordFrameIntervals = False
7.4828 	EXP 	window1: recordFrameIntervals = True
8.7959 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.8688 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.8855 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9014 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9179 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9347 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9509 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9664 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9829 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9992 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0156 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0159 	DEBUG 	Uploading Texture Font fontname to graphics card
9.0169 	DEBUG 	Upload of Texture Font fontname complete
9.2533 	INFO 	keyboard.Keyboard is using ptb backend.
9.2534 	INFO 	keyboard.Keyboard is using ptb backend.
9.2534 	EXP 	acceptability-judgment-advanced: status = STARTED
9.3845 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.4128 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('left', 'top'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
9.4177 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('right', 'top'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0.5, 0. ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.4448 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4458 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4467 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4475 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4479 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4482 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4491 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4497 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.4501 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
